Symbol,Name,Sector,Industry,Index,Secode,Indcode
ATVI, Activision Blizzard Inc,Technology,Electronic Gaming & Multimedia,NASDAQ100,tec,egm
ADBE, Adobe Inc.,Technology,Software - Application,NASDAQ100,tec,sa
AMD, Advanced Micro Devices Inc.,Technology,Semiconductors,NASDAQ100,tec,semc
ALXN, Alexion Pharmaceuticals Inc.,Healthcare,Biotechnology,NASDAQ100,hea,bio
ALGN, Align Technology Inc.,Healthcare,Medical Devices,NASDAQ100,hea,mdev
GOOG, Alphabet Inc.,Technology,Internet Content & Information,NASDAQ100,tec,ici
GOOGL, Alphabet Inc.,Technology,Internet Content & Information,NASDAQ100,tec,ici
AMZN, Amazon.com Inc.,Consumer Cyclical,Specialty Retail,NASDAQ100,cc,sr
AAL, American Airlines Group Inc.,Industrials,Airlines,NASDAQ100,ind,air
AMGN, Amgen Inc.,Healthcare,Biotechnology,NASDAQ100,hea,bio
ADI, Analog Devices Inc.,Technology,Semiconductors,NASDAQ100,tec,semc
AAPL, Apple Inc.,Technology,Consumer Electronics,NASDAQ100,tec,cel
AMAT, Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,NASDAQ100,tec,sem
ASML, ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,NASDAQ100,tec,sem
ADSK, Autodesk Inc.,Technology,Software - Application,NASDAQ100,tec,sa
ADP, Automatic Data Processing Inc.,Industrials,Business Services,NASDAQ100,ind,bs
BIDU, Baidu Inc.,Technology,Internet Content & Information,NASDAQ100,tec,ici
BIIB, Biogen Inc.,Healthcare,Biotechnology,NASDAQ100,hea,bio
BMRN, BioMarin Pharmaceutical Inc.,Healthcare,Biotechnology,NASDAQ100,hea,bio
BKNG, Booking Holdings Inc.,Consumer Cyclical,Leisure,NASDAQ100,cc,lei
AVGO, Broadcom Inc.,Technology,Semiconductors,NASDAQ100,tec,semc
CDNS, Cadence Design Systems Inc.,Technology,Software - Application,NASDAQ100,tec,sa
CELG, Celgene Corporation,Healthcare,Biotechnology,NASDAQ100,hea,bio
CERN, Cerner Corporation,Technology,Health Information Services,NASDAQ100,tec,hise
CHTR, Charter Communications Inc.,Communication Services,Pay TV,NASDAQ100,cs,pt
CHKP, Check Point Software Technologies Ltd.,Technology,Software - Application,NASDAQ100,tec,sa
CTAS, Cintas Corporation,Industrials,Business Services,NASDAQ100,ind,bs
CSCO, Cisco Systems Inc.,Technology,Communication Equipment,NASDAQ100,tec,ceq
CTXS, Citrix Systems Inc.,Technology,Software - Infrastructure,NASDAQ100,tec,si
CTSH, Cognizant Technology Solutions Corporation,Technology,Information Technology Services,NASDAQ100,tec,its
CMCSA, Comcast Corporation,Communication Services,Pay TV,NASDAQ100,cs,pt
COST, Costco Wholesale Corporation,Consumer Defensive,Discount Stores,NASDAQ100,cd,dis
CSX, CSX Corporation,Industrials,Railroads,NASDAQ100,ind,rai
CTRP, Ctrip.com International Ltd.,Consumer Cyclical,Leisure,NASDAQ100,cc,lei
DLTR, Dollar Tree Inc.,Consumer Defensive,Discount Stores,NASDAQ100,cd,dis
EBAY, eBay Inc.,Consumer Cyclical,Specialty Retail,NASDAQ100,cc,sr
EA, Electronic Arts Inc.,Technology,Electronic Gaming & Multimedia,NASDAQ100,tec,egm
EXPE, Expedia Group Inc.,Consumer Cyclical,Leisure,NASDAQ100,cc,lei
FB, Facebook Inc.,Technology,Internet Content & Information,NASDAQ100,tec,ici
FAST, Fastenal Company,Industrials,Industrial Distribution,NASDAQ100,ind,idis
FISV, Fiserv Inc.,Industrials,Business Services,NASDAQ100,ind,bs
GILD, Gilead Sciences Inc.,Healthcare,Biotechnology,NASDAQ100,hea,bio
HAS, Hasbro Inc.,Consumer Cyclical,Leisure,NASDAQ100,cc,lei
HSIC, Henry Schein Inc.,Healthcare,Medical Distribution,NASDAQ100,hea,mdis
IDXX, IDEXX Laboratories Inc.,Healthcare,Diagnostics & Research,NASDAQ100,hea,dr
ILMN, Illumina Inc.,Healthcare,Diagnostics & Research,NASDAQ100,hea,dr
INCY, Incyte Corporation,Healthcare,Biotechnology,NASDAQ100,hea,bio
INTC, Intel Corporation,Technology,Semiconductors,NASDAQ100,tec,semc
INTU, Intuit Inc.,Technology,Software - Application,NASDAQ100,tec,sa
ISRG, Intuitive Surgical Inc.,Healthcare,Medical Instruments & Supplies,NASDAQ100,hea,mis
JBHT, J.B. Hunt Transport Services Inc.,Industrials,Integrated Shipping & Logistics,NASDAQ100,ind,isl
JD, JD.com Inc.,Consumer Cyclical,Specialty Retail,NASDAQ100,cc,sr
KLAC, KLA-Tencor Corporation,Technology,Semiconductor Equipment & Materials,NASDAQ100,tec,sem
LRCX, Lam Research Corporation,Technology,Semiconductor Equipment & Materials,NASDAQ100,tec,sem
LBTYA, Liberty Global plc,Communication Services,Pay TV,NASDAQ100,cs,pt
LBTYK, Liberty Global plc,Communication Services,Pay TV,NASDAQ100,cs,pt
LULU, lululemon athletica inc.,Consumer Cyclical,Apparel Stores,NASDAQ100,cc,as
MAR, Marriott International,Consumer Cyclical,Lodging,NASDAQ100,cc,lod
MXIM, Maxim Integrated Products Inc.,Technology,Semiconductors,NASDAQ100,tec,semc
